"","Authors","Year","Title","Objectives","Journal","URL"
"11","Dicker et al",2018,"Global, regional, and national age-sex-specific mortality and life expectancy, 1950–2017: a systematic analysis for the Global Burden of Disease Study 2017","This version of the GBD reports on trends in age-specific mortality and summary measures of mortality, such as life expectancy, with four main improvements. First, new data sources that have been released or reported since GBD 2016 have been incorporated. Second, for the first time, estimates of age-sexspecific population generated in the GBD are used in the estimation of all-cause mortality, whereas previous efforts by the GBD used the UN Population Division estimates of population by age and sex. Third, statistical methods used in different components of the analysis have been further standardised and improved. Lastly, we have extended the analysis and reporting of age-specific mortality back to 1950 to further contribute to research and analyses of longterm trends in mortality and life expectancy.","The Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31891-9/fulltext"
"12","Direção-Geral da Saúde",2018,"Portugal: The Nation's Health 1990-2016; an overview of the Global Burden of Disease Study 2016 Results","This report explores the progress Portugal has experienced over the last 26 years, in terms of health, well-being, and development, and the new challenges it faces as its population grows and ages. This report provides information about the diseases and injuries that prevent Portuguese from living long and healthy lives. It also sheds light on risk factors that contribute to poor health. Finally, the report presents a country view with regard to the Sustainable Development Goals in 1990 and prospectively in 2030, and compares Portugal’s health performance to that of peer countries.","IHME","http://www.healthdata.org/policy-report/portugal-nation%E2%80%99s-health-1990%E2%80%932016"
"13","Dodhia & Phillips",2008,"Measuring burden of disease in two inner London boroughs using Disability Adjusted Life Years","To estimate disease burden at a local level and relates this to programme budget (PB) data.","Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L352533291"
"14","Ga?czak et al",2020,"Changes in disease burden in Poland between 1990-2017 in comparison with other Central European countries: A systematic analysis for the Global Burden of Disease Study 2017","To undertake an assessment of disease burden in Poland, evaluate changes in population health between 1990-2017, and compare Poland with other Central European (CE) countries.","PLoS ONE","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2005118264"
"15","Gènova-Maleras et al",2011,"Burden of disease in the elderly population in Spain","To analyze the burden of disease in the elderly population in Spain in 2008.","Gaceta Sanitaria","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L51748172"
"16","Gènova-Maleras et al",2012,"Measuring the burden of disease and injury in Spain using disability-adjusted life years: an updated and policy-oriented overview","To provide a comprehensive and detailed overview of the burden of disease in Spain for 2008; * implications for public health policies are discussed","Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L366412292"
"17","Gore et al",2011,"Global burden of disease in young people aged 10–24 years: a systematic analysis","We describe the global burden of disease arising in young people and the contribution of risk factors to that burden.","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736%2811%2960512-6/fulltext"
"18","Grant et al",2017,"The burden of disease is generally greater in more deprived areas, and that burden is more likely to be fatal","Scotland’s population – The Registrar General’s Annual Review of Demographic Trends; Scottish Burden of Disease (SBoD) study","ScotPHO","https://www.nrscotland.gov.uk/files/statistics/rgar-invited-chapter/rgar17-invited-chapter.pdf"
"19","Grant et al",2015,"The Scottish Burden of Disease (SBoD) study; Age–gender report","To cover both estimates calculated for individual conditions (for example, lung cancer, depression, chronic kidney disease or osteoarthritis) and for broad disease groupings. In the Scottish Burden of Disease Study, we have used the Global Burden of Disease 2015 study classification, which groups individual conditions into 21 disease groups","Public Health Information for Scotland (ScotPHO)","https://www.scotpho.org.uk/media/1444/sbod2015-age-gender-jul17.pdf"
"20","Haro et al",2014,"The burden of disease in Spain: results from the global burden of disease study 2010","To evaluate the change in burden of disease in Spain, comparing the available data of the GBD over time, between 1990 and 2010","BMC Medicine","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L602646621"
"21","Hay et al",2018,"Global, regional, and national disability-adjusted life-years (DALYs) for 333 diseases and injuries and healthy life expectancy (HALE) for 195 countries and territories, 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016","The purpose of this study is to present the results of GBD 2016 for DALYs and HALE, building on updated estimates of mortality, causes of death, and non-fatal health loss to identify nations with notable variation in health performance from that expected on the basis of SDI.","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32130-X/fulltext"
"22","James et al",2018,"Global, regional, and national incidence, prevalence, and years lived with disability for 354 diseases and injuries for 195 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017","To explore the patterns of non-fatal health loss over time and estimate the statistical differences in non-fatal health loss for males and females.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001253056"
"23","Jankovic et al",2007,"The burden of disease and injury in Serbia","To assess the burden of disease and injury in the population of Serbia, Serbia and Montenegro, for 2000 year; * to discuss the relative importance of specific health problems and the relevance of these findings for the future health strategy in Serbia","Eur J Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L46208007"
"24","Karelson",2016,"Eesti rahvastiku tervisekaotus 2013. aastal","Health loss of the Estonian population in 2013","Tervise Arengu instituut; Estonian Institute for Health Development","https://intra.tai.ee/images/prints/documents/145681803188_Tervisekaotus_2013_analyys.pdf"
"25","Kassebaum et al",2016,"Global, regional, and national disability-adjusted life-years (DALYs) for 315 diseases and injuries and healthy life expectancy (HALE), 1990-2015: a systematic analysis for the Global Burden of Disease Study 2015","To provide updated HALE and DALYs for geographies worldwide and evaluate how disease burden changes with development","Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)31460-X/fulltext"
"26","Knudsen et al",2019,"Life expectancy and disease burden in the Nordic countries: results from the Global Burden of Diseases, Injuries, and Risk Factors Study 2017","To provide an overview over the population health in the Nordic countries and to provide differences and similarities in life expectancy and disease burden between them","Lancet Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L629963143"
"27","Knudsen et al",2016,"Sykdomsbyrde i Norge 1990-2013","Sykdomsbyrde i Norge 1990-2013","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2016/rapport-20161-pdf.pdf"
"28","Knudsen et al",2017,"Sykdomsbyrde i Norge 2015","Resultater fra Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015)","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2015/sykdomsbyrde_i_norge_2015.pdf"
"29","Kyu et al",2018,"Global, regional, and national disability-adjusted life-years (DALYs) for 359 diseases and injuries and healthy life expectancy (HALE) for 195 countries and territories, 1990-2017: a systematic analysis for the Global Burden of Disease Study 2017","To present GBD 2017 results for HALE and DALYs by age and sex from 1990 to 2017 for 195 countries and territories; GBD 2017 includes new morbidity and mortality data","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001253061"
"30","Lai & Kohler",2006,"Burden of Disease of Estonian population (a policy brief)","To provide an introduction to possible links between socioeconomic factors and burden of disease","Sotsial Ministeenum","http://rahvatervis.ut.ee/bitstream/1/1861/2/Sotsiaalministeerium2009_2_inglisek.pdf"
"31","Lai et al",2009,"Measuring burden of disease in Estonia to support public health policy","To provide a first set of national and sub-national burden of disease estimates for Estonia; * present causes and age-gender distribution of the burden; *description of result uptake and impact of the study in Estonia public health policy","European Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L355348416"
"32","Lai et al",2004,"Haiguskoormuse tõttu kaotatud eluaastad Eestis: seosed riskifaktoritega ja riskide vähendamise kulutõhusus","Haiguskoormuse tõttu kaotatud eluaastad Eestis: seosed riskifaktoritega ja riskide vähendamise kulutõhusus","University of Tartu","http://www.rahvatervis.ut.ee/handle/1/81"
"33","Lapostolle et al",2007,"Sensitivity analysis in summary measure of population health in France.","To provide estimates of the French burden of disease, using the WHO Global Burden of Disease methodology and to perform sensitivity analysis on different set of mortality data.","Eur. J. Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/18037621/"
"34","Lekhan & Kriachkova",2019,"The system of measures to improve the health of the population of Ukraine based on the analysis of the global burden of diseases and its risk factors","To substantiate the system of measures on improvement of the health of the population of Ukraine on the basis of an indepth analysis of the global burden of diseases and injuries and associated risks.","Med. Perspect.","http://journals.uran.ua/index.php/2307-0404/article/view/181893/192267"
"35","Lewer et al",2020,"Premature mortality attributable to socioeconomic inequality in England between 2003 and 2018: an observational study","To measure the aggregate scale of inequality in premature mortality for the whole population of England.","Lancet Public Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/31813773/"
"36","Ljung et al",2005,"Socioeconomic differences in the burden of disease in Sweden","To analyse how much of the total burden of disease in Sweden, measured in DALYs, is a result of inequalities in health between socioeconomic groups; to determine how this unequal burden is distributed across different disease groups and socioeconomic groups.","Bulletin of the World Health Organization: the International Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L40239001"
"37","Lopez et al",2006,"Global and regional burden of disease and risk factors, 2001: systematic analysis of population health data","To calculate the global burden of disease and risk factors for 2001; to examine regional trends from 1990 to 2001; to provide a starting point for the analysis of the Disease Control Priorities Project (DCPP)","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L43767064"
"38","Machado et al",2011,"Carga Global da Doença na região Norte de Portugal","This study was aimed to strengthen the evidence base that will inform the next Regional (Northern Region Health Administration) and Local (Primary Health Care Groups) Health Plans, revealing new health needs and problems of the population(s).","Departamento de Saúde Pública","http://portal.arsnorte.min-saude.pt/portal/page/portal/ARSNorte/Conte%C3%BAdos/Sa%C3%BAde%20P%C3%BAblica%20Conteudos/Carga_Global_Doenca_Regiao_Norte_2004.pdf"
"39","Maertens de Noordhout et al",2018,"Changes in health in Belgium, 1990-2016: a benchmarking analysis based on the global burden of disease 2016 study","To perform an in-depth analysis of the secular trend of Belgian health status using the Global Burden of Disease (GBD) 2016 study results for Belgium, and to compare these results with other European countries.","BMC Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L627709502"
"40","Mariotti et al",2003,"Years of life lost due to premature mortality in Italy","To provide more insight into the leading causes of death in Italy and is the first vital step in ascertaining Italy’s total burden of disease;","European Journal of Epidemiology","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L36899555"
"41","Melse & Kramers",1998,"Berekeningen van de ziektelast in Nederland. Achtergronddocument bij VTV-1997 deel III, hoofdstuk 7","Dit rapport bestaat uit twee delen. Deel A is een vrijwel integrale weergave van de tekst van hoofdstuk 7 uit VTV-1997 III: Gezondheid en levensverwachting gewogen. In dit hoofdstuk is een schatting gemaakt van de ziektelast in Nederland voor de in VTV-1997 geselecteerde aandoeningen , op basis van elders berekende wegingsfactoren voor ziekte en de gegevens over prevalentie, incidentie en verloren levensjaren die voor VTV-1997 verzameld zijn. De ziektelast wordt uitgedrukt in DALY's (Disability-Adjusted Life Years), die een optelling zijn van ziektejaar-equivalenten en verloren levensjaren. De ziektejaar-equivalenten worden berekend als de prevalentie maal een wegingsfactor voor de ernst van de aandoening. Een opvallend resultaat was dat de hart- en vaatziekten en kankers verantwoordelijk waren voor het grootste deel van de verloren levensjaren, terwijl de psychische aandoeningen en de lichamelijke chronische aandoeningen juist het grootste deel van de ziektejaarequivalenten voor hun rekening namen. In de beschouwing worden de belangrijkste onzekerheden en problemen van deze benadering besproken. Deel B bevat de berekeningen van de ziektejaar-equivalenten en DALY's per aandoening, gerangschikt naar ICD-hoofdgroep.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/431501028.html"
"42","Melse et al",2000,"A national burden of disease calculation: Dutch disability-adjusted life-years. Dutch Burden of Disease Group","To estimate the burden of disease due to 48 major causes in the Netherlands in 1994 in disability-adjusted life-years (DALYs), using national epidemiologic data and disability weights, and explored associated problems and uncertainties.","American Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L30497377"
"43","Mesalles-Naranjo et al",2018,"Trends and inequalities in the burden of mortality in Scotland 2000–2015","To describe the trends in Years of Life Lost (YLL) for specific causes of death in Scotland from 2000 to 2015.","PLoS ONE","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L623280945"
"44","Milicevic et al",2009,"Serbia within the European context: An analysis of premature mortality","To analyze similarities and differences in premature mortality between Serbia, EURO A, EURO B, and EURO C regions in 2000","Population Health Metrics","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L355235151"
"45","Mokdad et al",2016,"Global burden of diseases, injuries, and risk factors for young people's health during 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","To report the past, present, and anticipated burden of disease in young people aged 10–24 years from 1990 to 2013 using data on mortality, disability, injuries, and health risk factors","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L610888680"
"46","Monasta et al",2019,"Italy's health performance, 1990–2017: findings from the Global Burden of Disease Study 2017","To understand the patterns of health loss and response of the health-care system, and offer evidence-based policy indications in light of the demographic transition and government health spending in the country","Lancet Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2005226262"
"47","Murray et al",2015,"Global, regional, and national disability-adjusted life years (DALYs) for 306 diseases and injuries and healthy life expectancy (HALE) for 188 countries, 1990-2013: quantifying the epidemiological transition","To calculate DALYs and HALE for 306 diseases and injuries for 188 countries from 1990 to 2013","Lancet","https://www.sciencedirect.com/science/article/pii/S014067361561340X"
"48","Murray et al",2013,"UK health performance: findings of the Global Burden of Disease Study 2010","To examine the patterns of health loss in the UK, the leading preventable risks that explain some of these patterns, and how UK outcomes compare with a set of comparable countries in the European Union and elsewhere in 1990 and 2010.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52479090"
"49","Murray et al",2012,"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","To calculate disease burden worldwide and for 21 regions for 1990, 2005, and 2010 with methods to enable meaningful comparisons over time.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L366291522"
"50","Naghavi et al",2017,"Global, regional, and national age-sex specific mortality for 264 causes of death, 1980–2016: a systematic analysis for the Global Burden of Disease Study 2016","To estimate mortality for 264 causes by sex for 23 age groups in 195 countries or territories from 1980 to 2016","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L618844567"
"51","Newton et al",2015,"Changes in health in England, with analysis by English regions and areas of deprivation, 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","To analyse the burden of disease and injury in England as a whole, in English regions, and within each English region by deprivation quintile; * to assess disease and injury burden in England attributable to potentially preventable risk factors","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L606042336"
"52","Nielsen et al",2004,"Burden of mortality in Greenland--today and tomorrow","Investigation of the relative impact of three factors expected to influence the future mortality burden in Greenland: demographic change, epidemiological transition and behavioural patterns.","Int J Circumpolar Health","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/15736628/"
"53","Øverland et al",2018,"Sykdomsbyrden i Norge 2016","Resultater fra Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016)","Folkehelseinstituttet (National Institute of Public Health; Norway)","https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2018/sykdomsbyrden-i-norge-i-2016.pdf"
"54","Plass et al",2014,"Trends in disease burden in Germany: results, implications and limitations of the Global Burden of Disease study","To describe and discuss the freely available data for Germany from GBD 2010","Deutsches Ärzteblatt Internationa","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L600162845"
"55","Rommel et al",2018,"BURDEN 2020 – Krankheitslast in Deutschland auf nationaler und regionaler Ebene","The aim of this article is to describe the potential of the BURDEN 2020 project in more detail. It begins by introducing the burden of disease approach before presenting the potential benefits that can be expected from BURDEN 2020. This discussion is embedded in the context of the experiences already gained by other European countries","Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz","https://edoc.rki.de/bitstream/handle/176904/6798/Rommel2018_Article_BURDEN2020BurdenOfDiseaseInGer.pdf?sequence=1"
"56","Roth et al",2018,"Global, regional, and national age-sex-specific mortality for 282 causes of death in 195 countries and territories, 1980–2017: a systematic analysis for the Global Burden of Disease Study 2017","To report an update to that study, making use of newly available data and improved methods. GBD 2017 provides a comprehensive assessment of cause-specific mortality for 282 causes in 195 countries and territories from 1980 to 2017.","The Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)32203-7/fulltext#seccestitle10"
"57","Santos et al",2019,"The state of health in the European Union (EU-28) in 2017: an analysis of the burden of diseases and injuries","To describe the state of health in the EU-28 in 2017 and how it has changed since 2007","European Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L630156260"
"58","Schopper et al",2000,"Estimating the burden of disease in one Swiss canton: what do disability adjusted life years (DALY) tell us?","To identify the relative importance of specific diseases and injuries in the overall disease burden in the canton of Geneva","International Journal of Epidemiology","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L30831271"
"59","Soriano et al",2018,"The burden of disease in Spain: Results from the Global Burden of Disease 2016","To provide an updated description of the current state of health in Spain *report trends in mortality and morbidity from 1990 to 2016","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2000967624"
"60","Starodubov et al",2018,"The burden of disease in Russia from 1980 to 2016: a systematic analysis for the Global Burden of Disease Study 2016","To evaluate trends in mortality, causes of death, years lived with disability (YLDs), years of life lost (YLLs), disability-adjusted life-years (DALYs), and associated risk factors in Russia from 1980 to 2016.","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001134664"
"61","Steel et al",2018,"Changes in health in the countries of the UK and 150 English Local Authority areas 1990–2016: a systematic analysis for the Global Burden of Disease Study 2016","To present updated GBD 2016 estimates for the UK from 1990 to 20; * to explain the causes of the slowdown in the improvements in life expectancy since 2010; * to guide to rational priority setting for health and social policy","Lancet","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001247593"
"62","Stockton et al",2016,"The Scottish Burden of Disease (SBoD) study; Deprivation report","To detail both the absolute inequalities which reflect the magnitude of difference in burden between two subgroups and relative inequalities which show the proportional differences in health among subgroups.","Public Health Information for Scotland (ScotPHO)","https://www.scotpho.org.uk/media/1656/sbod2016-deprivation-report-aug18.pdf"
"63","Tollanes et al",2018,"Disease burden in Norway in 2016","To describe the disease burden in Norway in 2016, its development over the last ten years and sex differences in the disease burden","Journal of the Norwegian Medical Association","http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=30277038"
"64","Tyrovolas et al",2018,"The burden of disease in Greece, health loss, risk factors, and health financing, 2000–16: an analysis of the Global Burden of Disease Study 2016","To explore temporal trends in health loss, risk factors, and health financing in Greece from 2000 to 2016, comparing with those of Cyprus and western Europe overall","Lancet Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2001133280"
"65","Ünüvar et al",2006,"Turkey Burden of Disease Study","Primary objective of the NBD study is to identify clear and objective criteria to provide guidance for health sector reforms, policies and strategies in Turkey for the next century and this study aims to enable comprehensive data which are needed to make an in-depth evaluation of burden of disease, injuries and important risk factors; to establish a basis for evaluating the progress made in health and health systems performance; to support rational allocation of sources and to eliminate inequities in service supply.","Turkey Ministry of Health","https://sbu.saglik.gov.tr/Ekutuphane/kitaplar/200704061342050_NBDing.pdf"
"66","Urbas et al",2007,"Austrian Causes of Death Atlas 1998/2004","The assessment of the mortality situation undertaken by this atlas is intended to shed light on problem areas with a high death risk, as well as general structures relating to the geographic distribution of mortality. As an assessment it is purely descriptive. The chapter “Main results” contains references to the possible risk factors. The atlas is meant to serve as an impetus and an empirical basis for research on causes. It may be of benefi t for the development of hypotheses on the underlying causal factors and may incite specialized epidemiological studies in which these hypotheses can be tested. Finally, the atlas may contribute to an improvement in health-consciousness and serve to implement health policy strategies. In problem areas with a high risk of death, prevention and education programs could be intensifi ed, independently of whether or not the underlying causal factors have been identifi ed. For heath-planning purposes, specialist medical examination and treatment programs would need to be included in the strategies taken","Statistics Austria","https://www.statistik.at/web_en/statistics/PeopleSociety/health/causes_of_death/index.html"
"67","Valent & Zanier",2015,"A population-based study of the years of life lost in the Friuli Venezia Giulia region, Italy","To provide some basis for the preparation of the next regional prevention health plan for the years 2014-2018, we analyzed the burden of premature mortality, as the YLL due to different causes, in 2013 and the trend of premature mortality from 2000 to 2013 in Friuli Venezia Giulia region","Annali dell'Istituto Superiore di Sanità","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L616736002"
"68","Vlajinac et al",2008,"Years of life lost due to premature death in Serbia (excluding Kosovo and Metohia)","To provide an assessment of the mortality burden in Serbia (excluding Kosovo and Metohia)","Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L351258921"
"69","Vos et al",2015,"Global, regional, and national incidence, prevalence, and years lived with disability for 301 acute and chronic diseases and injuries in 188 countries, 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","To report incidence for acute sequelae, prevalence for chronic sequelae, total prevalence by cause, in addition to YLDs for all causes.","The Lancet","https://pdf.sciencedirectassets.com/271074/1-s2.0-S0140673615X61563/1-s2.0-S0140673615606924/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQDxNnrJw0A3YFlg7YajZuIKYFx3YjXrzAwQRTcYVIgxqwIgMwCKjc1eRbXPXzoW3njK0ndjZxUL%2FS2I%2FNibETky%2FwsqvQMI3f%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARADGgwwNTkwMDM1NDY4NjUiDEitkhr4QSCGD77tyCqRA%2BVP91QRotEJa2Ts2kfNG8Yv3YCzw3p%2FGT92t9y5UQpYpT6NUvaQKNiLkeqpsDNapapAkw2ubQeOkF4eEuzipxU0k%2BNxWHKBwcAv266Yvi4LWH%2FrJhz0Kj6sJqblrIoSqSkboNEsoxCetE70OnjXxaXaMPEC7qMYuowv%2BYp03NQaBzsr3zFWuBhEh04ak6kZiEmNpvF3BiafuI348LWNYbcyNvnkgcS2phO3RNyoUmlPVAqbvIGqhUrYyx369X8Un26x5TEYXQOTQ62HaktRfDsfx9tw3Jnn1eY0Zbc3h39MrMJDfG1Pb9vyZGIPwSpTPDu7M7oJw6BC7KuN1%2FKuIMt%2Fcmz0bWOHOJMTQEAP8V%2FC6bcB8tsWW3PzPVXS27Y9HAUNi%2Fot9z2mGWSLWdcASK8ci5K8xCOWnBrjlg6JO2S9BrXz%2BXt6B9R%2BKNrNLSyHMKrnFFQH1WlftIGjfWfm5P3GPb%2Br5AIjOTHqQzgwdy9EjahIXpnNuTQFWF%2Bzp%2F77tRetvkbwHjVKKPzd9TKLYVTsMPSh1%2FwFOusBLlM1UocTDkhV7YYK3ps%2FREVGWViB%2Btnxos4OzFj4Uy6BOqUZZtVahyG1lJMZqM%2BRJ9%2BN4jeXiwEcV8YImDloVJv5Rj8AiixIZFaYiv619CO8crqHNzZwRtc9L7B%2BHXfbZjcmdglOrsgyya%2FTgyh0b%2BPMXQbCKKRUt4sW0XkAdtCnkzm5Vn7G1fjt6IJP1oNlZpTj19ES2wx4tNRgisRhxK7%2BYmIS0TlJDknj8Qd7qCxJISLkSgnPhJNeB2hFBB3YViwLl8shxWQ6zEK99IkaoS0Btaldg8tO9O6LHvNO24UikM9CjyrrHsE5jw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20201025T194838Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY4CO3HUUV%2F20201025%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=3371d01d81e0124c74cd1f86b6bcf51823a000b555b63bf9da5b2c29563bdc4a&hash=eb553c93ebb729bb9f310c757d4b52d89fd5b33302c3360ac3218b3608cc2a9b&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0140673615606924&tid=spdf-79176332-5a7e-4e23-b2ee-4be138e5bb39&sid=89d0c99e3ea6c048fe48a057f9e628ed5c54gxrqb&type=client"
