"","Authors","Year","Title","Objectives","Journal","URL"
"11","Bijkerk et al",2011,"Staat van Infectieziekten in Nederland, 2010 [State of Infectious Diseases in the Netherlands, 2010]","In dit rapport wordt uitgelegd hoe de DALY kan worden berekend, welke keuzes en aannames hierbij moeten worden gemaakt en welke aspecten van belang zijn als het gaat om infectieziekten in het bijzonder. Om betrouwbare schattingen van de ziektelast van infectieziekten te kunnen maken is in de toekomst verder onderzoek nodig naar de kwaliteit van gegevens over hoe vaak infectieziekten voorkomen en de mate van onderrapportage. Voorlopige schattingen geven al wel een beeld van de variatie in ziektelast tussen verschillende infectieziekten.","RIVM","https://www.rivm.nl/publicaties/staat-van-infectieziekten-in-nederland-2010"
"12","Bijkerk et al",2014,"Staat van Infectieziekten in Nederland, 2013 [State of Infectious Diseases in the Netherlands, 2013]","De uitbraak van mazelen in 2013 was de meest in het oog springende infectieziekte van dat jaar. Dit blijkt uit de Staat van Infectieziekten in Nederland 2013, die inzicht geeft in ontwikkelingen van infectieziekten bij de Nederlandse bevolking. Daarnaast worden de ontwikkelingen in het buitenland beschreven die voor Nederland relevant zijn. Met deze jaarlijkse uitgave informeert het RIVM beleidsmakers van het ministerie van Volksgezondheid, Welzijn en Sport (VWS). Elk jaar komt in de Staat van Infectieziekten een thema aan bod; dit jaar is dat de hoeveelheid jaren in goede gezondheid die verloren gaan (ziektelast) door infectieziekten. Sommige infectieziekten, zoals maag-darminfecties, komen erg vaak voor maar veroorzaken over het algemeen geen ernstige klachten. Andere daarentegen, bijvoorbeeld tetanus, komen slechts zelden voor maar veroorzaken relatief veel sterfgevallen. Een gezondheidsmaat die deze aspecten van ziekten combineert is de Disability Adjusted Life Year (DALY). Voor 32 infectieziekten is de ziektelast in Nederland tussen 2007 en 2011 geschat. De gemiddelde jaarlijkse ziektelast voor de totale Nederlandse bevolking was het hoogst voor ernstige pneumokokkenziekte (9444 DALY's per jaar) en griep (8670 DALY's per jaar), die respectievelijk 16 en 15 procent van de totale ziektelast van alle 32 infectieziekten vertegenwoordigen. Na polio en difterie (0 gevallen in de onderzochte periode), werd de laagste ziektelast geschat voor rodehond op 0,14 DALY's per jaar. De ziektelast voor deze ziekten is zo laag dankzij het Rijksvaccinatieprogramma. De ziektelast per individu varieerde van 0,2 DALY's per honderd infecties voor giardiasis (diarree die wordt veroorzaakt door een parasiet), tot 5081 en 3581 DALY's per honderd infecties voor respectievelijk hondsdolheid en een variant van de ziekte van Creutzfeldt-Jakob. Voor alle ziektelaststudies geldt dat de resultaten afhankelijk zijn van de modelparameters en aannames, en van de beschikbaarheid van accurate gegevens over de mate waarin de ziekten voorkomen. Toch kunnen deze schattingen informatief zijn voor beleidsmakers binnen de gezondheidszorg om prioriteiten te kunnen aanbrengen in preventieve en andere maatregelen.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/150205001.pdf"
"13","Bikbov et al",2014,"Mortality landscape in the Global Burden of Diseases, Injuries and Risk Factors Study","The study has provided a state of the art understanding of the burden of 67 risk factors and their clusters, 291 diseases and injuries on global, regional and national levels in period from 1990 to 2010 for 187 countries.","Eur J Intern Med","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52795657"
"14","Bindels et al",1994,"Impact of AIDS on premature mortality in Amsterdam, 1982-1992","To study the impact of AIDS on premature mortality in the city of Amsterdam (1982-1992).","AIDS","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/8043228/"
"15","Birnie et al",2019,"Global burden of melioidosis in 2015: a systematic review and data synthesis","We did a systematic review of the peer-reviewed literature for human melioidosis cases between Jan 1, 1990, and Dec 31, 2015. Quantitative data for cases of melioidosis were extracted, including mortality, age, sex, infectious and post-infectious sequelae, antibiotic treatment, and symptom duration.","The Lancet Infectious Diseases","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/31285144/"
"16","Bouwknegt et al",2011,"Disease burden of food-related pathogens in the Netherlands, 2011","The Ministry of VWS has requested RIVM to present an annual update on the number of illnesses caused by 14 enteric pathogens. These pathogens can be transmitted by food, the environment, animals and humans. The number of persons who are ill and who die from the infections is expressed in DALYs (Disability Adjusted Life Years), a measure of the disease burden in the population. The total disease burden caused by the 14 pathogens decreased from 14,900 DALY in 2010 to 13,900 DALY in 2011. The share of foodborne transmission in this burden decreased from 6,440 to 6,230 DALY. The decrease in disease burden was a result of a decrease in the incidence of disease by Salmonella spp., rotavirus, norovirus and hepatitis A virus. Furthermore, fewer persons died from an infection with Listeria monocytogenes compared to 2010. The number of perinatal listeriosis cases has doubled, increasing the burden of perinatal listeriosis by 50% compared to 2010 to 156 DALY per year in 2011. The incidence of campylobacteriosis continued to increase in 2011. Furthermore, an overall increasing trend in norovirus incidence was observed in the period 2001-2011, despite the decrease in 2011 compared to 2010. No explanation for the trends is available. This research results in more insight in the true incidence of foodborne diseases and the associated disease burden. The Dutch Food and Consumer Product Safety Authority (NVWA) and Regional Health Services register and investigate outbreaks of foodborne disease in the Netherlands. However, the majority of foodborne diseases is not reported.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/330331006.pdf"
"17","Bouwknegt et al",2012,"Disease burden of food-related pathogens in the Netherlands, 2012","This research results in more insight in the true incidence of foodborne diseases and the associated disease burden.","RIVM","https://www.rivm.nl/bibliotheek/rapporten/2014-0069.pdf"
"18","Bouwknegt et al",2014,"Disease burden of food-related pathogens in the Netherlands, 2013","The research presented in this report results in more insight in the true incidence of foodborne diseases and the associated disease burden and costs and enables to monitor trend in time for these public health indicators.","RIVM","https://rivm.openrepository.com/bitstream/handle/10029/620880/2014-0115.pdf?sequence=1&isAllowed=y"
"19","Bowie et al",1997,"Estimating the burden of disease in an English region","To evaluate the potential use of DALYs in the region by estimating the burden of disease of each of the sponsoring district authorities and how much of the DALYs are 'avoidable', finding out how much each authority spends on each component and exploring whether strategic shifts in expenditure are likely to reduce the overall burden of disease.","Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L27158172"
"20","Brooke et al",2014,"Comparing the impact of two concurrent infectious disease outbreaks on The Netherlands population, 2009, using disability-adjusted life years","To quantify the burden, in DALYs, of Q fever and A(H1N1)pdm09, two emerging infectious diseases in The Netherlands, using new, standardized methodology.","Epidemiol Infect","https://www-cambridge-org.eur.idm.oclc.org/core/services/aop-cambridge-core/content/view/0A66EB611D8502AA0CA8997E07D446C3/S0950268813003531a.pdf/comparing-the-impact-of-two-concurrent-infectious-disease-outbreaks-on-the-netherlands-population-2009-using-disability-adjusted-life-years.pdf"
"21","Budke et al",2006,"Global socioeconomic impact of cystic echinococcosis","Cystic echinococcosis (CE) is an emerging zoonotic parasitic disease throughout the world. Human incidence and livestock prevalence data of CE were gathered from published literature and the Office International des Epizooties databases. Disability-adjusted life years (DALYs) and monetary losses, resulting from human and livestock CE, were calculated from recorded human and livestock cases. Alternative values, assuming substantial underreporting, are also reported. When no underreporting is assumed, the estimated human burden of disease is 285,407 (95% confidence interval [CI], 218,515-366,133) DALYs or an annual loss of US $193,529,740 (95% CI, $171,567,331-$217,773,513). When underreporting is accounted for, this amount rises to 1,009,662 (95% CI, 862,119-1,175,654) DALYs or US $763,980,979 (95% CI, $676,048,731-$857,982,275). An annual livestock production loss of at least US $141,605,195 (95% CI, $101,011,553-$183,422,465) and possibly up to US $2,190,132,464 (95% CI, $1,572,373,055-$2,951,409,989) is also estimated. This initial valuation demonstrates the necessity for increased monitoring and global control of CE.","Emerg Infect Dis","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/16494758/"
"22","Burazeri et al",2014,"National Health Report: Health Status of the Albanian Population.","To provide a broad overview (morbidity and mortality) of the current health status of the population of Albania.","Institute of Public Health (Tirana)","https://www.researchgate.net/publication/271212744_National_Health_Report_Health_status_of_the_Albanian_population"
"23","Café et al",2019,"Haemophilia A: Health and economic burden of a rare disease in Portugal","To estimate the annualized cost and health burden of haemophilia A in Portugal.","Orphanet Journal of Rare Diseases","https://ojrd.biomedcentral.com/articles/10.1186/s13023-019-1175-5"
"24","Cassini et al",2016,"Impact of food and water-borne diseases on European population health","To discuss how findings of burden of disease studies compare and how these are useful in providing scientifically sound information to risk managers and their decision making process.","Current Opinion in Food Science","https://www-sciencedirect-com.eur.idm.oclc.org/science/article/pii/S2214799316300741"
"25","Cassini et al",2018,"Impact of infectious diseases on population health using incidence-based disability-adjusted life years (DALYs): results from the Burden of Communicable Diseases in Europe study, European Union and European Economic Area countries, 2009 to 2013","To calculate disability-adjusted life years (DALYs) for 31 selected diseases in the European Union (EU) and European Economic Area (EEA).","Euro Surveill","https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2018.23.16.17-00454"
"26","Cassini et al",2019,"Attributable deaths and disability-adjusted life-years caused by infections with antibiotic-resistant bacteria in the EU and the European Economic Area in 2015 …","To estimate the incidence of infections with 16 antibiotic resistance–bacterium combinations from European Antimicrobial Resistance Surveillance Network (EARS-Net) 2015 data that was country-corrected for population coverage.","The Lancet Infectious Diseases","https://www.thelancet.com/action/showPdf?pii=S1473-3099%2818%2930605-4"
"27","Cassini et al",2016,"Burden of Six Healthcare-Associated Infections on European Population Health: Estimating Incidence-Based Disability-Adjusted Life Years through a Population Prevalence-Based Modelling Study","To calculate the DALYs aiming at describing the burden of HAIs in acute care hospitals of the European Union and European Economic Area (EU/EEA) using the methodology of the Burden of Communicable Diseasesin Europe (BCoDE) project and the results of the European Centre for Disease Prevention and Control (ECDC) point prevalence survey (PPS) of HAIs and antimicrobial use in European acute care hospitals.","PLoS Med","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/27755545/"
"28","Castilla et al",1997,"Impact of human immunodeficiency virus infection on mortality among young men and women in Spain","To describe the impact of human immunodeficiency virus (HIV)/acquired immunodeficiency syndrome (AIDS) mortality among young adults in Spain with specific reference to other causes of death.","Int J Epidemiol","https://academic-oup-com.eur.idm.oclc.org/ije/article/26/6/1346/676896"
"29","Catalá-López et al",2013,"Burden of disease assessment with summary measures of population health for the Region of Valencia, Spain: a population-based study","To describe the burden of disease in the Region of Valencia (Spain)","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L51954208"
"30","Catalá-López et al",2013,"Carga de enfermedad en adolescentes y jóvenes en España","To analyze the burden of disease in adolescents and young people in Spain in 2008.","Revista de Psiquiatría y Salud Mental","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L52184213"
"31","Chan et al",1997,"The global burden of intestinal nematode infections--fifty years on.","Fifty years after Stoll published his 'This Wormy World' article, the global prevalence of infections with intestinal nematodes remains virtually unchanged. The main species involved are Ascaris lumbricoides, Trichuris trichiura and hookworms, and there are now approximately one billion infections with each of these, worldwide. Given these large numbers, Man-Suen Chan here focuses on attempting to quantify the disease burden caused by these infections, using a recently formulated method of calculating disability-adjusted life years (DALYs). Using a mathematical model, it is estimated that approximately 70% of this burden can be prevented in high-prevalence communities by treating schoolchildren alone. Programmes targeted at schoolchildren have been shown to be extremely cost-effective, and hence this provides a realistic approach for combating these infections in the future.","Parasitol Today","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/15275146/"
"32","Coleman et al",2004,"Estimating the public health impact of rabies.","Rabies is a fatal, preventable zoonosis, but it is not effectively controlled throughout much of the developing world. The impetus for control is hampered by a lack of awareness of its true impact. We estimate a disability-adjusted life year (DALY) score for rabies to quantify the disease impact relative to other diseases to set priorities for public health interventions.","Emerg Infect Dis","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/15078611/"
"33","Colzani et al",2017,"A software tool for estimation of burden of infectious diseases in Europe using incidence-based disability adjusted life years","To describe the technical and computational characteristics of the BCoDE toolkit and how this represents an important step forward by providing a consistent computational framework across diseases and populations.","PLoS Med","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170662&type=printable"
"34","Colzani et al",2014,"Impact of measles national vaccination coverage on burden of measles across 29 Member States of the European Union and European Economic Area, 2006-2011","To investigate the effect of vaccination programs on the burden of measles in Europe. In order to reach this goal we compared measles national vaccination coverage and burden of measles expressed in DALYs across EU/EEA MS and studied their correlation in the period 2006–2011.","Vaccine","https://www-sciencedirect-com.eur.idm.oclc.org/science/article/pii/S0264410X14001571?via%3Dihub"
"35","Cortés et al",2004,"Disease burden due to vaccinable diseases in the Spanish population aged less than 15 years old","To estimate the burden of disease due to vaccinable diseases and the relative importance of these diseases in the health of the Spanish population aged less than 15 years old.","Gaceta Sanitaria","https://www.gacetasanitaria.org/es-linkresolver-carga-enfermedad-atribuible-afecciones-inmunoprevenibles-S021391110472018X"
"36","Cortés García et al",2004,"Carga de enfermedad de la población española menor de 15 años para el año 1999","To assess DALYs of those illnesses most important in Spanish children and teenagers","Medicina Clinica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L38581342"
"37","Cuadras & Ricart",2014,"Carga de enfermedad en la comunidad autónoma de Cataluña utilizando años de vida ajustados por discapacidad (2005-2010)","To estimate the burden of disease in Catalonia, to compare the results with Spain and Tarragones area and to assess the contribution of the local registers to the estimation of the disability.","Rev Esp Salud Publica","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L373619297"
"38","Cuijpers et al",2011,"The disease burden of childhood adversities in adults: A population-based study","To focus on non-fatal disease burden (expressed in YLD) that can be attributed to childhood adversities. We will also compare these results with the YLD that are associated with mental and general medical disorders.","Child Abuse & Neglect","https://www-sciencedirect-com.eur.idm.oclc.org/science/article/pii/S0145213411002444?via%3Dihub"
"39","Devleesschauwer et al",2015,"The low global burden of trichinellosis: evidence and implications","The aim of the current study is to provide the first known global burden of disease assessment for trichinellosis, based on the Disability-Adjusted Life Year (DALY) metric","Int J Parasitol","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/24953055/"
"40","Devleesschauwer et al",2015,"Methodological Framework for World Health Organization Estimates of the Global Burden of Foodborne Disease","To describe the methodological framework developed by FERG's Computational Task Force to transform epidemiological information into FBD burden estimates.","PLoS One","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0142498&type=printable"
"41","Dicker et al",2018,"Global, regional, and national age-sex-specific mortality and life expectancy, 1950–2017: a systematic analysis for the Global Burden of Disease Study 2017","This version of the GBD reports on trends in age-specific mortality and summary measures of mortality, such as life expectancy, with four main improvements. First, new data sources that have been released or reported since GBD 2016 have been incorporated. Second, for the first time, estimates of age-sexspecific population generated in the GBD are used in the estimation of all-cause mortality, whereas previous efforts by the GBD used the UN Population Division estimates of population by age and sex. Third, statistical methods used in different components of the analysis have been further standardised and improved. Lastly, we have extended the analysis and reporting of age-specific mortality back to 1950 to further contribute to research and analyses of longterm trends in mortality and life expectancy.","The Lancet","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31891-9/fulltext"
"42","Dilé-Mary et al",2002,"A risk assessment case study in the suburbs of Paris: balancing health effects of Cryptosporidium parvum and bromate","To evaluate and balance these two risks, using the approach developed earlier by Havelaar et al. (2000). The study uses a probabilistic risk assessment, which consists of calculating the net health benefit, expressed as the number of disability adjusted life-years (DALY).","Water Supply","https://iwaponline.com/ws/article-abstract/2/3/205/25621/A-risk-assessment-case-study-in-the-suburbs-of?redirectedFrom=fulltext"
"43","Direção-Geral da Saúde",2018,"Portugal: The Nation's Health 1990-2016; an overview of the Global Burden of Disease Study 2016 Results","This report explores the progress Portugal has experienced over the last 26 years, in terms of health, well-being, and development, and the new challenges it faces as its population grows and ages. This report provides information about the diseases and injuries that prevent Portuguese from living long and healthy lives. It also sheds light on risk factors that contribute to poor health. Finally, the report presents a country view with regard to the Sustainable Development Goals in 1990 and prospectively in 2030, and compares Portugal’s health performance to that of peer countries.","IHME","http://www.healthdata.org/policy-report/portugal-nation%E2%80%99s-health-1990%E2%80%932016"
"44","Dodhia & Phillips",2008,"Measuring burden of disease in two inner London boroughs using Disability Adjusted Life Years","To estimate disease burden at a local level and relates this to programme budget (PB) data.","Journal of Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L352533291"
"45","Fafangel et al",2017,"Estimating the annual burden of tick-borne encephalitis to inform vaccination policy, Slovenia, 2009 to 2013","To estimate the overall and age- and sex-specific annual burden of TBE in Slovenia in order to inform vaccination policy in a setting with limited resources.","Euro Surveill","https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2017.22.16.30509"
"46","Feng et al",2018,"Estimation of disability weight for paragonimiasis: A systematic analysis","To systematically review clinical paragonimiasis cases and requantify the disability weight of human paragonimiasis","Infectious Diseases of Poverty","https://idpjournal.biomedcentral.com/articles/10.1186/s40249-018-0485-5"
"47","Flegr et al",2014,"Toxoplasmosis – A Global Threat. Correlation of Latent Toxoplasmosis with Specific Disease Burden in a Set of 88 Countries","The purpose of the study was to collect available geoepidemiological data on seroprevalence of toxoplasmosis and search for its relationship with mortality and disability rates in different countries.","PLoS One","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0090203"
"48","Frick et al",2003,"Estimating the burden and economic impact of trachomatous visual loss","To estimate the burden (disability-adjusted life years) and economic impact (potential productivity loss) associated with trachomatous visual loss.","Ophthalmic Epidemiology","https://www-tandfonline-com.eur.idm.oclc.org/doi/abs/10.1076/opep.10.2.121.13899"
"49","Ga?czak et al",2020,"Changes in disease burden in Poland between 1990-2017 in comparison with other Central European countries: A systematic analysis for the Global Burden of Disease Study 2017","To undertake an assessment of disease burden in Poland, evaluate changes in population health between 1990-2017, and compare Poland with other Central European (CE) countries.","PLoS ONE","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L2005118264"
"50","García-Fulgueiras et al",2011,"Burden of disease related to hepatitis C and hepatitis B in Spain: a methodological challenge of an unfolding health problem","To assess the disability-adjusted life years (DALYs) related to hepatitis C and B in Spain in 2006 taking into account related cirrhosis and liver cancer","J Viral Hepat","https://pubmed-ncbi-nlm-nih-gov.eur.idm.oclc.org/21914063/"
"51","García-Fulgueiras et al",2009,"Hepatitis C and hepatitis B-related mortality in Spain","To assess the total number of deaths attributable to these viruses in Spain and the years of life lost, first component of the disability adjusted life years, a comparative index of BoD.","European Journal of Gastroenterology & Hepatology","https://journals.lww.com/eurojgh/Abstract/2009/08000/Hepatitis_C_and_hepatitis_B_related_mortality_in.10.aspx"
"52","Gaunt et al",2011,"Disease burden of the most commonly detected respiratory viruses in hospitalized patients calculated using the disability adjusted life year (DALY) model","Further understanding is needed of the relative importance of newly discovered pathogens in the clinical setting to provide clinicians with an indication of appropriate diagnostic and therapeutic targets. To address this, quantification ofthe disease burden of respiratory viruses in hospitalized patients was undertaken","Journal of Clinical Virology","https://www-sciencedirect-com.eur.idm.oclc.org/science/article/pii/S1386653211003180?via%3Dihub"
"53","Gènova-Maleras et al",2011,"Burden of disease in the elderly population in Spain","To analyze the burden of disease in the elderly population in Spain in 2008.","Gaceta Sanitaria","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L51748172"
"54","Gènova-Maleras et al",2012,"Measuring the burden of disease and injury in Spain using disability-adjusted life years: an updated and policy-oriented overview","To provide a comprehensive and detailed overview of the burden of disease in Spain for 2008; * implications for public health policies are discussed","Public Health","http://www.embase.com/search/results?subaction=viewrecord&from=export&id=L366412292"
